"","id","period","goals","shots"
"1","29019","1",1,18
"2","29019","2",1,31
"3","29019","3",2,17
"4","29020","1",4,23
"5","29020","2",1,17
"6","29020","3",0,21
"7","29021","1",2,24
"8","29021","2",2,16
"9","29021","3",2,34
"10","29022","1",3,22
"11","29022","2",2,12
"12","29022","3",1,18
"13","29023","1",1,20
"14","29023","2",3,21
"15","29023","3",4,22
"16","29024","1",1,13
"17","29024","2",1,18
"18","29024","3",2,18
"19","29025","1",0,23
"20","29025","2",4,16
"21","29025","3",0,10
"22","29026","1",2,19
"23","29026","2",0,17
"24","29026","3",1,15
"25","29027","1",1,18
"26","29027","2",1,21
"27","29027","3",2,17
"28","29028","1",1,14
"29","29028","2",1,24
"30","29028","3",1,23
"31","29029","1",3,20
"32","29029","2",2,18
"33","29029","3",4,15
"34","29030","1",1,15
"35","29030","2",1,24
"36","29030","3",4,19
"37","29031","1",0,16
"38","29031","2",4,18
"39","29031","3",0,17
"40","29032","1",2,17
"41","29032","2",2,15
"42","29032","3",0,12
"43","29033","1",1,24
"44","29033","2",2,21
"45","29033","3",1,22
"46","29034","1",2,21
"47","29034","2",3,20
"48","29034","3",0,22
"49","29035","1",0,19
"50","29035","2",3,19
"51","29035","3",2,18
"52","29042","1",0,22
"53","29042","2",1,23
"54","29042","3",1,12
"55","29041","1",0,26
"56","29041","2",5,15
"57","29041","3",3,24
"58","29040","1",1,18
"59","29040","2",3,25
"60","29040","3",2,16
"61","29039","1",4,17
"62","29039","2",0,16
"63","29039","3",4,19
"64","29038","1",3,29
"65","29038","2",1,19
"66","29038","3",3,20
"67","29037","1",4,23
"68","29037","2",2,19
"69","29037","3",2,27
"70","29036","1",0,20
"71","29036","2",3,22
"72","29036","3",4,24
"73","29043","1",1,17
"74","29043","2",3,20
"75","29043","3",1,14
"76","29044","1",1,23
"77","29044","2",2,24
"78","29044","3",2,16
"79","29045","1",3,18
"80","29045","2",3,21
"81","29045","3",3,22
"82","29046","1",0,24
"83","29046","2",3,19
"84","29046","3",0,24
"85","29047","1",1,24
"86","29047","2",2,21
"87","29047","3",1,20
"88","29048","1",0,22
"89","29048","2",1,29
"90","29048","3",1,20
"91","29049","1",2,21
"92","29049","2",1,15
"93","29049","3",1,19
"94","29050","1",4,22
"95","29050","2",3,18
"96","29050","3",2,13
"97","29051","1",1,22
"98","29051","2",3,29
"99","29051","3",2,17
"100","29052","1",0,14
"101","29052","2",1,24
"102","29052","3",5,19
"103","29053","1",1,20
"104","29053","2",0,21
"105","29053","3",0,23
"106","29054","1",0,15
"107","29054","2",2,17
"108","29054","3",0,16
"109","29055","1",1,11
"110","29055","2",3,27
"111","29055","3",1,25
"112","29056","1",1,18
"113","29056","2",0,10
"114","29056","3",3,15
"115","29057","1",2,24
"116","29057","2",1,28
"117","29057","3",2,18
"118","29058","1",1,25
"119","29058","2",2,22
"120","29058","3",2,16
"121","29059","1",1,21
"122","29059","2",1,13
"123","29059","3",3,19
"124","29060","1",0,15
"125","29060","2",1,12
"126","29060","3",3,18
"127","29061","1",1,27
"128","29061","2",3,27
"129","29061","3",2,26
"130","29062","1",3,21
"131","29062","2",3,12
"132","29062","3",1,13
"133","29063","1",0,12
"134","29063","2",2,18
"135","29063","3",1,11
"136","29064","1",3,22
"137","29064","2",4,22
"138","29064","3",3,24
"139","29065","1",0,14
"140","29065","2",2,24
"141","29065","3",1,21
"142","29066","1",2,14
"143","29066","2",4,18
"144","29066","3",2,16
"145","29067","1",3,21
"146","29067","2",1,22
"147","29067","3",0,23
"148","29068","1",1,24
"149","29068","2",3,30
"150","29068","3",3,21
"151","29069","1",0,22
"152","29069","2",2,21
"153","29069","3",0,15
"154","29070","1",1,14
"155","29070","2",1,24
"156","29070","3",3,13
"157","29071","1",0,16
"158","29071","2",1,21
"159","29071","3",2,20
"160","29072","1",3,15
"161","29072","2",2,23
"162","29072","3",3,17
"163","29073","1",2,21
"164","29073","2",1,18
"165","29073","3",2,16
"166","29074","1",2,17
"167","29074","2",1,17
"168","29074","3",3,21
"169","29075","1",2,18
"170","29075","2",4,20
"171","29075","3",1,16
"172","29076","1",1,15
"173","29076","2",0,25
"174","29076","3",1,20
"175","29077","1",1,17
"176","29077","2",4,27
"177","29077","3",4,17
"178","29078","1",1,18
"179","29078","2",4,24
"180","29078","3",3,14
"181","29079","1",1,19
"182","29079","2",1,13
"183","29079","3",2,18
"184","29080","1",1,22
"185","29080","2",3,17
"186","29080","3",3,27
"187","29081","1",1,22
"188","29081","2",1,19
"189","29081","3",1,19
"190","29082","1",0,21
"191","29082","2",1,25
"192","29082","3",1,14
"193","29083","1",0,20
"194","29083","2",2,18
"195","29083","3",3,25
"196","29088","1",1,22
"197","29088","2",0,17
"198","29088","3",4,14
"199","29087","1",3,21
"200","29087","2",0,17
"201","29087","3",0,22
"202","29086","1",0,13
"203","29086","2",3,24
"204","29086","3",3,26
"205","29085","1",1,19
"206","29085","2",1,19
"207","29085","3",1,16
"208","29084","1",1,22
"209","29084","2",3,20
"210","29084","3",2,20
"211","29089","1",1,20
"212","29089","2",5,20
"213","29089","3",3,19
"214","29090","1",0,15
"215","29090","2",2,18
"216","29090","3",3,20
"217","29091","1",1,13
"218","29091","2",2,19
"219","29091","3",4,20
"220","29092","1",1,21
"221","29092","2",2,23
"222","29092","3",5,23
"223","29093","1",1,15
"224","29093","2",1,19
"225","29093","3",0,13
"226","29094","1",0,22
"227","29094","2",4,25
"228","29094","3",2,23
"229","29095","1",3,15
"230","29095","2",0,16
"231","29095","3",2,26
"232","29096","1",2,18
"233","29096","2",0,18
"234","29096","3",0,19
"235","29097","1",1,24
"236","29097","2",2,19
"237","29097","3",0,20
"238","29098","1",1,22
"239","29098","2",1,14
"240","29098","3",2,14
"241","29099","1",0,7
"242","29099","2",1,22
"243","29099","3",3,14
"244","29100","1",1,21
"245","29100","2",1,25
"246","29100","3",1,21
"247","29101","1",1,21
"248","29101","2",0,28
"249","29101","3",3,16
"250","29102","1",1,26
"251","29102","2",0,23
"252","29102","3",3,17
"253","29103","1",1,28
"254","29103","2",1,24
"255","29103","3",1,22
"256","29104","1",1,22
"257","29104","2",5,17
"258","29104","3",2,21
"259","29105","1",2,14
"260","29105","2",3,17
"261","29105","3",3,18
"262","29106","1",1,18
"263","29106","2",0,23
"264","29106","3",1,14
"265","29107","1",4,27
"266","29107","2",2,21
"267","29107","3",2,17
"268","29108","1",1,16
"269","29108","2",2,22
"270","29108","3",1,19
"271","29109","1",0,14
"272","29109","2",0,12
"273","29109","3",0,17
"274","29110","1",1,11
"275","29110","2",1,24
"276","29110","3",3,28
"277","29111","1",2,20
"278","29111","2",3,21
"279","29111","3",0,16
"280","29112","1",3,25
"281","29112","2",1,23
"282","29112","3",4,17
"283","29113","1",0,16
"284","29113","2",3,19
"285","29113","3",3,22
"286","29114","1",3,19
"287","29114","2",2,22
"288","29114","3",0,11
"289","29115","1",2,16
"290","29115","2",1,14
"291","29115","3",2,15
"292","29116","1",1,19
"293","29116","2",2,22
"294","29116","3",2,19
"295","29117","1",2,26
"296","29117","2",2,23
"297","29117","3",1,20
"298","29118","1",1,22
"299","29118","2",5,18
"300","29118","3",3,22
"301","29119","1",3,26
"302","29119","2",2,16
"303","29119","3",3,10
"304","29120","1",2,17
"305","29120","2",3,24
"306","29120","3",1,23
"307","29121","1",3,21
"308","29121","2",0,20
"309","29121","3",1,22
"310","29122","1",5,19
"311","29122","2",5,18
"312","29122","3",1,12
"313","29123","1",1,24
"314","29123","2",0,22
"315","29123","3",2,22
"316","29124","1",1,18
"317","29124","2",2,17
"318","29124","3",0,10
"319","29125","1",2,13
"320","29125","2",3,25
"321","29125","3",2,19
"322","29126","1",1,25
"323","29126","2",6,34
"324","29126","3",1,20
"325","29127","1",1,16
"326","29127","2",1,25
"327","29127","3",3,21
"328","29128","1",2,25
"329","29128","2",2,27
"330","29128","3",0,27
"331","29131","1",3,19
"332","29131","2",2,29
"333","29131","3",3,17
"334","29130","1",0,12
"335","29130","2",1,28
"336","29130","3",1,22
"337","29129","1",1,17
"338","29129","2",1,21
"339","29129","3",2,17
"340","29132","1",0,18
"341","29132","2",0,14
"342","29132","3",0,19
"343","29133","1",3,21
"344","29133","2",2,22
"345","29133","3",2,27
"346","29134","1",1,17
"347","29134","2",1,17
"348","29134","3",2,19
"349","29135","1",2,13
"350","29135","2",4,20
"351","29135","3",1,22
"352","29136","1",4,26
"353","29136","2",4,19
"354","29136","3",1,18
"355","29137","1",1,16
"356","29137","2",2,15
"357","29137","3",2,18
"358","29138","1",2,18
"359","29138","2",1,18
"360","29138","3",2,26
"361","29139","1",0,22
"362","29139","2",1,20
"363","29139","3",3,22
"364","29140","1",3,16
"365","29140","2",1,16
"366","29140","3",3,19
"367","29141","1",0,15
"368","29141","2",0,20
"369","29141","3",0,25
"370","29142","1",1,16
"371","29142","2",2,23
"372","29142","3",3,12
"373","29143","1",0,10
"374","29143","2",0,13
"375","29143","3",4,15
"376","29144","1",3,18
"377","29144","2",0,27
"378","29144","3",3,23
"379","29145","1",0,17
"380","29145","2",2,19
"381","29145","3",2,11
"382","29146","1",1,22
"383","29146","2",0,21
"384","29146","3",4,17
"385","29149","1",0,17
"386","29149","2",2,21
"387","29149","3",3,19
"388","29148","1",3,13
"389","29148","2",1,20
"390","29148","3",3,20
"391","29147","1",1,20
"392","29147","2",0,15
"393","29147","3",1,15
"394","29150","1",3,15
"395","29150","2",3,20
"396","29150","3",1,19
"397","29151","1",3,23
"398","29151","2",0,20
"399","29151","3",3,11
"400","29152","1",0,14
"401","29152","2",3,16
"402","29152","3",5,28
"403","29153","1",0,27
"404","29153","2",0,18
"405","29153","3",4,14
"406","29154","1",1,16
"407","29154","2",0,13
"408","29154","3",2,16
"409","29155","1",2,12
"410","29155","2",1,14
"411","29155","3",1,17
"412","29156","1",0,20
"413","29156","2",2,22
"414","29156","3",3,19
"415","29157","1",4,22
"416","29157","2",2,32
"417","29157","3",1,28
"418","29158","1",1,19
"419","29158","2",2,24
"420","29158","3",0,18
"421","29159","1",0,22
"422","29159","2",2,16
"423","29159","3",1,19
"424","29160","1",2,23
"425","29160","2",1,31
"426","29160","3",1,23
"427","29161","1",2,23
"428","29161","2",1,17
"429","29161","3",3,19
"430","29162","1",3,16
"431","29162","2",1,16
"432","29162","3",3,16
"433","29163","1",1,22
"434","29163","2",1,23
"435","29163","3",2,19
"436","29164","1",1,15
"437","29164","2",0,16
"438","29164","3",3,20
"439","29165","1",0,19
"440","29165","2",1,19
"441","29165","3",2,20
"442","29166","1",0,18
"443","29166","2",3,20
"444","29166","3",2,20
"445","29167","1",1,22
"446","29167","2",2,19
"447","29167","3",1,24
"448","29168","1",1,14
"449","29168","2",3,16
"450","29168","3",0,32
"451","29169","1",5,26
"452","29169","2",3,15
"453","29169","3",1,18
"454","29170","1",1,28
"455","29170","2",5,18
"456","29170","3",2,17
"457","29171","1",3,20
"458","29171","2",3,19
"459","29171","3",1,14
"460","29172","1",2,14
"461","29172","2",2,15
"462","29172","3",0,8
"463","29173","1",1,19
"464","29173","2",5,15
"465","29173","3",2,20
"466","29174","1",0,15
"467","29174","2",3,24
"468","29174","3",3,19
"469","29179","1",4,15
"470","29179","2",0,22
"471","29179","3",1,11
"472","29178","1",0,16
"473","29178","2",1,16
"474","29178","3",1,19
"475","29177","1",2,20
"476","29177","2",0,20
"477","29177","3",2,16
"478","29176","1",1,22
"479","29176","2",3,19
"480","29176","3",4,23
"481","29175","1",1,14
"482","29175","2",2,23
"483","29175","3",1,16
"484","29180","1",4,14
"485","29180","2",0,17
"486","29180","3",0,18
"487","29181","1",4,20
"488","29181","2",2,21
"489","29181","3",3,14
"490","29182","1",2,22
"491","29182","2",2,20
"492","29182","3",3,16
"493","29183","1",1,16
"494","29183","2",2,25
"495","29183","3",4,25
"496","29184","1",2,12
"497","29184","2",3,21
"498","29184","3",1,12
"499","29185","1",0,16
"500","29185","2",1,19
"501","29185","3",2,17
"502","29186","1",3,30
"503","29186","2",3,29
"504","29186","3",0,11
"505","29187","1",2,20
"506","29187","2",2,31
"507","29187","3",1,19
"508","29188","1",3,16
"509","29188","2",0,14
"510","29188","3",3,31
"511","29189","1",1,21
"512","29189","2",2,23
"513","29189","3",2,18
"514","29190","1",3,21
"515","29190","2",2,18
"516","29190","3",3,19
"517","29191","1",1,20
"518","29191","2",0,22
"519","29191","3",2,16
"520","29192","1",3,17
"521","29192","2",3,17
"522","29192","3",1,22
"523","29193","1",0,17
"524","29193","2",2,20
"525","29193","3",0,26
"526","29194","1",0,17
"527","29194","2",2,19
"528","29194","3",1,23
"529","29195","1",0,17
"530","29195","2",1,28
"531","29195","3",2,13
"532","29196","1",1,28
"533","29196","2",4,20
"534","29196","3",4,19
"535","29197","1",1,21
"536","29197","2",2,30
"537","29197","3",3,20
"538","29198","1",2,23
"539","29198","2",4,23
"540","29198","3",1,21
"541","29199","1",3,23
"542","29199","2",1,18
"543","29199","3",2,19
"544","29200","1",7,26
"545","29200","2",3,20
"546","29200","3",0,21
"547","29201","1",1,13
"548","29201","2",0,14
"549","29201","3",4,16
"550","29202","1",0,20
"551","29202","2",3,22
"552","29202","3",1,15
"553","29203","1",3,19
"554","29203","2",1,29
"555","29203","3",1,5
"556","29204","1",2,23
"557","29204","2",2,22
"558","29204","3",1,15
"559","29205","1",1,13
"560","29205","2",1,15
"561","29205","3",3,14
"562","29206","1",1,20
"563","29206","2",2,20
"564","29206","3",1,21
"565","29207","1",0,13
"566","29207","2",2,23
"567","29207","3",3,17
"568","29208","1",1,16
"569","29208","2",1,19
"570","29208","3",0,18
"571","29209","1",1,16
"572","29209","2",3,25
"573","29209","3",2,15
"574","29210","1",3,23
"575","29210","2",0,8
"576","29210","3",2,27
"577","29211","1",3,22
"578","29211","2",3,22
"579","29211","3",1,21
"580","29212","1",1,21
"581","29212","2",0,11
"582","29212","3",1,22
"583","29213","1",3,21
"584","29213","2",2,15
"585","29213","3",1,19
"586","29214","1",0,19
"587","29214","2",2,21
"588","29214","3",3,20
"589","29215","1",1,18
"590","29215","2",2,19
"591","29215","3",0,26
"592","29216","1",0,20
"593","29216","2",2,25
"594","29216","3",1,16
"595","29217","1",1,21
"596","29217","2",2,21
"597","29217","3",3,28
"598","29218","1",0,19
"599","29218","2",3,20
"600","29218","3",2,20
"601","29219","1",1,15
"602","29219","2",3,24
"603","29219","3",1,15
"604","29223","1",1,20
"605","29223","2",0,14
"606","29223","3",2,17
"607","29222","1",0,21
"608","29222","2",3,20
"609","29222","3",1,23
"610","29221","1",1,21
"611","29221","2",1,14
"612","29221","3",2,14
"613","29220","1",1,18
"614","29220","2",2,22
"615","29220","3",3,24
"616","29224","1",1,21
"617","29224","2",0,28
"618","29224","3",3,24
"619","29225","1",0,20
"620","29225","2",1,18
"621","29225","3",0,18
"622","29226","1",1,27
"623","29226","2",3,19
"624","29226","3",1,24
"625","29227","1",4,24
"626","29227","2",2,21
"627","29227","3",1,11
"628","29228","1",1,22
"629","29228","2",0,11
"630","29228","3",0,15
"631","29229","1",3,23
"632","29229","2",0,6
"633","29229","3",2,19
"634","29230","1",3,19
"635","29230","2",3,27
"636","29230","3",0,10
"637","29231","1",1,22
"638","29231","2",1,23
"639","29231","3",1,19
"640","29232","1",2,14
"641","29232","2",0,28
"642","29232","3",4,22
"643","29233","1",2,12
"644","29233","2",3,23
"645","29233","3",1,27
"646","29234","1",0,17
"647","29234","2",1,18
"648","29234","3",1,17
"649","29235","1",2,11
"650","29235","2",0,28
"651","29235","3",1,17
"652","29236","1",1,22
"653","29236","2",2,21
"654","29236","3",1,22
"655","29237","1",4,24
"656","29237","2",0,29
"657","29237","3",4,22
"658","29240","1",3,20
"659","29240","2",3,23
"660","29240","3",1,16
"661","29239","1",1,16
"662","29239","2",2,21
"663","29239","3",2,21
"664","29238","1",0,23
"665","29238","2",0,16
"666","29238","3",1,26
"667","29241","1",4,22
"668","29241","2",5,15
"669","29241","3",3,27
"670","29242","1",2,15
"671","29242","2",4,18
"672","29242","3",2,23
"673","29243","1",1,20
"674","29243","2",1,26
"675","29243","3",3,22
"676","29244","1",2,14
"677","29244","2",2,26
"678","29244","3",1,20
"679","29245","1",2,22
"680","29245","2",1,20
"681","29245","3",3,19
"682","29246","1",3,27
