"","id","scheduleStatus","originalDate","originalTime","delayedOrPostponedReason","date","time","location","awayTeam.ID","awayTeam.City","awayTeam.Name","awayTeam.Abbreviation","homeTeam.ID","homeTeam.City","homeTeam.Name","homeTeam.Abbreviation"
"1","29019","Normal",NA,NA,NA,"2015-10-07","7:00PM","Air Canada Center","14","Montreal","Canadiens","MTL","12","Toronto","Maple Leafs","TOR"
"2","29020","Normal",NA,NA,NA,"2015-10-07","8:00PM","United Center","9","New York","Rangers","NYR","20","Chicago","Blackhawks","CHI"
"3","29021","Normal",NA,NA,NA,"2015-10-07","10:00PM","Scotiabank Saddledome","21","Vancouver","Canucks","VAN","23","Calgary","Flames","CGY"
"4","29022","Normal",NA,NA,NA,"2015-10-07","10:30PM","Staples Center","26","San Jose","Sharks","SJS","28","Los Angeles","Kings","LAK"
"5","29023","Normal",NA,NA,NA,"2015-10-08","7:00PM","TD Garden","2","Winnipeg","Jets","WPJ","11","Boston","Bruins","BOS"
"6","29024","Normal",NA,NA,NA,"2015-10-08","7:00PM","First Niagara Center","13","Ottawa","Senators","OTT","15","Buffalo","Sabres","BUF"
"7","29025","Normal",NA,NA,NA,"2015-10-08","7:30PM","Amalie Arena","6","Philadelphia","Flyers","PHI","1","Tampa Bay","Lightning","TBL"
"8","29026","Normal",NA,NA,NA,"2015-10-08","8:00PM","Bridgestone Arena","3","Carolina","Hurricanes","CAR","18","Nashville","Predators","NSH"
"9","29027","Normal",NA,NA,NA,"2015-10-08","8:00PM","Scottrade Center","24","Edmonton","Oilers","EDM","17","St. Louis","Blues","STL"
"10","29028","Normal",NA,NA,NA,"2015-10-08","8:30PM","American Airlines Center","10","Pittsburgh","Penguins","PIT","27","Dallas","Stars","DAL"
"11","29029","Normal",NA,NA,NA,"2015-10-08","9:00PM","Pepsi Center","25","Minnesota","Wild","MIN","22","Colorado","Avalanche","COL"
"12","29030","Normal",NA,NA,NA,"2015-10-09","7:00PM","Nationwide Arena","9","New York","Rangers","NYR","19","Columbus","Blue Jackets","CBJ"
"13","29031","Normal",NA,NA,NA,"2015-10-09","7:00PM","Prudential Center","2","Winnipeg","Jets","WPJ","7","New Jersey","Devils","NJD"
